Atom ID 0, Charge -0.03187209238422195
Atom ID 1, Charge -0.09846524964434433
Atom ID 2, Charge -0.021214995721369867
Atom ID 3, Charge -0.02121502603821135
Atom ID 4, Charge -0.09828550232329825
Atom ID 5, Charge -0.031872085684768514
Atom ID 6, Charge -0.03187207928244007
Atom ID 7, Charge -0.09846524070128826
Atom ID 8, Charge -0.021215034454827197
Atom ID 9, Charge -0.02121499462142129
Atom ID 10, Charge -0.09828550561810978
Atom ID 11, Charge -0.03187209585843931
Atom ID 12, Charge -0.031373258086299316
Atom ID 13, Charge -0.09836109207993537
Atom ID 14, Charge -0.021029338414670917
Atom ID 15, Charge -0.02163993469693537
Atom ID 16, Charge -0.09836109674929006
Atom ID 17, Charge -0.031900360826325524
Atom ID 18, Charge -0.03137327189511385
Atom ID 19, Charge -0.09836109162520934
Atom ID 20, Charge -0.0210292842050519
Atom ID 21, Charge -0.021639904162332968
Atom ID 22, Charge -0.09836109111680713
Atom ID 23, Charge -0.03190035171795014
Atom ID 24, Charge -0.031900361219793005
Atom ID 25, Charge -0.09828550878283515
Atom ID 26, Charge -0.02163990161372009
Atom ID 27, Charge -0.021029285961775557
Atom ID 28, Charge -0.0984652403944235
Atom ID 29, Charge -0.03137327537316903
Atom ID 30, Charge -0.03190036134982055
Atom ID 31, Charge -0.09828550673590808
Atom ID 32, Charge -0.02163994064851238
Atom ID 33, Charge -0.021029345291304402
Atom ID 34, Charge -0.0984652482655628
Atom ID 35, Charge -0.03137325601312124
Atom ID 36, Charge -0.025055591365793717
Atom ID 37, Charge -0.028664316068330642
Atom ID 38, Charge -0.028806464346269323
Atom ID 39, Charge -0.013745028455486974
Atom ID 40, Charge -0.028664268383480795
Atom ID 41, Charge -0.026025974821644482
Atom ID 42, Charge -0.02505563576745029
Atom ID 43, Charge -0.028664271265883556
Atom ID 44, Charge -0.028806448098031012
Atom ID 45, Charge -0.013745078350328122
Atom ID 46, Charge -0.028664314334947427
Atom ID 47, Charge -0.026025992583136315
Atom ID 48, Charge -0.026025997971865777
Atom ID 49, Charge -0.030598347307966733
Atom ID 50, Charge -0.013745090089488876
Atom ID 51, Charge -0.028806450813026352
Atom ID 52, Charge -0.030498713138976008
Atom ID 53, Charge -0.025055637110201978
Atom ID 54, Charge -0.026025973508986944
Atom ID 55, Charge -0.03059840498240085
Atom ID 56, Charge -0.013745041933655777
Atom ID 57, Charge -0.028806482180480764
Atom ID 58, Charge -0.03049871169325069
Atom ID 59, Charge -0.02505558340637215
Atom ID 60, Charge -0.027105099286980128
Atom ID 61, Charge -0.03049870889769135
Atom ID 62, Charge -0.03054228787846558
Atom ID 63, Charge -0.030542389956767835
Atom ID 64, Charge -0.030598405144043994
Atom ID 65, Charge -0.027105082785432444
Atom ID 66, Charge -0.027105079404178056
Atom ID 67, Charge -0.030498710539379914
Atom ID 68, Charge -0.03054237954689132
Atom ID 69, Charge -0.03054229169594702
Atom ID 70, Charge -0.030598349267566327
Atom ID 71, Charge -0.02710510195490201
Atom ID 72, Charge -0.03232717711663824
Atom ID 73, Charge -0.005944732735701841
Atom ID 74, Charge -0.05933689341655324
Atom ID 75, Charge -0.051214512817744584
Atom ID 76, Charge -0.020290340629818715
Atom ID 77, Charge -0.032933929797758665
Atom ID 78, Charge -0.03232716524716839
Atom ID 79, Charge -0.005944658481241483
Atom ID 80, Charge -0.059336583208280835
Atom ID 81, Charge -0.05121270423657176
Atom ID 82, Charge -0.020290302157277118
Atom ID 83, Charge -0.032933870749374705
Atom ID 84, Charge -0.016713106372679754
Atom ID 85, Charge -0.020290268442439974
Atom ID 86, Charge -0.06772475432020197
Atom ID 87, Charge -0.06772296877090778
Atom ID 88, Charge -0.005944631209883866
Atom ID 89, Charge -0.016713119498398044
Atom ID 90, Charge -0.016713086256794796
Atom ID 91, Charge -0.02029029843094321
Atom ID 92, Charge -0.06772326610873414
Atom ID 93, Charge -0.06772434688224838
Atom ID 94, Charge -0.00594470276172121
Atom ID 95, Charge -0.016713142599466657
Atom ID 96, Charge -0.032933776160890105
Atom ID 97, Charge -0.019948872183718436
Atom ID 98, Charge -0.0512121168970463
Atom ID 99, Charge -0.05933632593428495
Atom ID 100, Charge -0.01994887696974601
Atom ID 101, Charge -0.03232705734229757
Atom ID 102, Charge -0.03293384288911039
Atom ID 103, Charge -0.01994887950751334
Atom ID 104, Charge -0.05121385174512039
Atom ID 105, Charge -0.05933663018959656
Atom ID 106, Charge -0.019948861968980935
Atom ID 107, Charge -0.03232705681559267
Atom ID 108, Charge 0.037706724654068324
Atom ID 109, Charge 0.037728915834913224
Atom ID 110, Charge 0.24086088871711997
Atom ID 111, Charge 0.019708598142319178
Atom ID 112, Charge 0.019904949273806483
Atom ID 113, Charge 0.019708594590000295
Atom ID 114, Charge 0.019904949143536244
Atom ID 115, Charge 0.019937277004561493
Atom ID 116, Charge 0.019937279512079353
Atom ID 117, Charge 0.019937283916935722
Atom ID 118, Charge 0.01993727125469158
Atom ID 119, Charge 0.01990494556861888
Atom ID 120, Charge 0.019708595969904597
Atom ID 121, Charge 0.01990494556554956
Atom ID 122, Charge 0.019708600146083888
Atom ID 123, Charge 0.035409440570766115
Atom ID 124, Charge 0.038130694808466536
Atom ID 125, Charge 0.0354105074473573
Atom ID 126, Charge 0.038126629846604865
Atom ID 127, Charge 0.036035434399304234
Atom ID 128, Charge 0.036024728729772804
Atom ID 129, Charge 0.036025010251779066
Atom ID 130, Charge 0.03603631035239763
Atom ID 131, Charge 0.038126282833536584
Atom ID 132, Charge 0.03541124378469118
Atom ID 133, Charge 0.0381314068828309
Atom ID 134, Charge 0.035409816723668386
Atom ID 135, Charge 0.07620650575403598
Atom ID 136, Charge 0.06711590008502766
Atom ID 137, Charge 0.07629982998066753
Atom ID 138, Charge 0.06677365092430132
Atom ID 139, Charge 0.18268887697848912
Atom ID 140, Charge 0.18264401138540354
Atom ID 141, Charge 0.1823302419575601
Atom ID 142, Charge 0.18233164295744064
Atom ID 143, Charge 0.18233024682539778
Atom ID 144, Charge 0.18233165168727883
Atom ID 145, Charge 0.18213762593949578
Atom ID 146, Charge 0.1815518897744548
Atom ID 147, Charge 0.18213762580854764
Atom ID 148, Charge 0.18155188946129064
Atom ID 149, Charge 0.18097662221787525
Atom ID 150, Charge 0.18093245069999053
Atom ID 151, Charge 0.18145524479607023
Atom ID 152, Charge 0.18082838612731145
Atom ID 153, Charge 0.16888096383936757
Atom ID 154, Charge 0.18145529413323302
Atom ID 155, Charge 0.18082844434679934
Atom ID 156, Charge 0.3637628837599278
Atom ID 157, Charge -0.2893601854565695
Atom ID 158, Charge -0.08458776347127461
Atom ID 159, Charge -0.08441660653731375
