Atom ID 0, Charge -0.03180595089458915
Atom ID 1, Charge -0.09819254028799573
Atom ID 2, Charge -0.020978285206298963
Atom ID 3, Charge -0.020978313937231263
Atom ID 4, Charge -0.09844353365947978
Atom ID 5, Charge -0.03180593227362394
Atom ID 6, Charge -0.03180593582261526
Atom ID 7, Charge -0.09819251461996448
Atom ID 8, Charge -0.020978323572417246
Atom ID 9, Charge -0.020978279417028567
Atom ID 10, Charge -0.09844354824573553
Atom ID 11, Charge -0.03180596053626772
Atom ID 12, Charge -0.03165663390063678
Atom ID 13, Charge -0.09837113586459445
Atom ID 14, Charge -0.021094418961966177
Atom ID 15, Charge -0.021856959199469728
Atom ID 16, Charge -0.09837117723386246
Atom ID 17, Charge -0.03180987826207193
Atom ID 18, Charge -0.031656640614897036
Atom ID 19, Charge -0.09837117260073303
Atom ID 20, Charge -0.021094355003929977
Atom ID 21, Charge -0.021856944611783113
Atom ID 22, Charge -0.09837114998496421
Atom ID 23, Charge -0.03180988368313109
Atom ID 24, Charge -0.031809879383910555
Atom ID 25, Charge -0.09844354774010533
Atom ID 26, Charge -0.02185694704297081
Atom ID 27, Charge -0.02109435853658237
Atom ID 28, Charge -0.09819252507224974
Atom ID 29, Charge -0.03165664392922274
Atom ID 30, Charge -0.031809883244037884
Atom ID 31, Charge -0.09844353844043852
Atom ID 32, Charge -0.021856964325675854
Atom ID 33, Charge -0.02109442308637899
Atom ID 34, Charge -0.0981925224544371
Atom ID 35, Charge -0.03165663150522047
Atom ID 36, Charge -0.025159248147215152
Atom ID 37, Charge -0.028740860472375118
Atom ID 38, Charge -0.028942751046218795
Atom ID 39, Charge -0.014113428096372616
Atom ID 40, Charge -0.028740814460370245
Atom ID 41, Charge -0.02557219699403568
Atom ID 42, Charge -0.02515931488203549
Atom ID 43, Charge -0.02874080623236619
Atom ID 44, Charge -0.02894273852395024
Atom ID 45, Charge -0.014113477996380297
Atom ID 46, Charge -0.028740853286056023
Atom ID 47, Charge -0.025572218231551425
Atom ID 48, Charge -0.02557220736610777
Atom ID 49, Charge -0.030295195705817513
Atom ID 50, Charge -0.014113495972950751
Atom ID 51, Charge -0.028942747365319654
Atom ID 52, Charge -0.030411040865407024
Atom ID 53, Charge -0.02515929820532925
Atom ID 54, Charge -0.025572204180447144
Atom ID 55, Charge -0.03029525430588187
Atom ID 56, Charge -0.014113450441644027
Atom ID 57, Charge -0.028942761235740022
Atom ID 58, Charge -0.030411032448249387
Atom ID 59, Charge -0.02515924381963419
Atom ID 60, Charge -0.027447198730920164
Atom ID 61, Charge -0.0304110410719014
Atom ID 62, Charge -0.029914827260318688
Atom ID 63, Charge -0.02991492465590362
Atom ID 64, Charge -0.030295260982964756
Atom ID 65, Charge -0.02744717367178051
Atom ID 66, Charge -0.02744716400048386
Atom ID 67, Charge -0.03041102979252397
Atom ID 68, Charge -0.02991491386071221
Atom ID 69, Charge -0.029914832761727794
Atom ID 70, Charge -0.030295188756867653
Atom ID 71, Charge -0.02744720304474857
Atom ID 72, Charge -0.03653947494410481
Atom ID 73, Charge -0.0052782906869168755
Atom ID 74, Charge -0.08257544124504257
Atom ID 75, Charge -0.07841591713165474
Atom ID 76, Charge -0.02052499152334697
Atom ID 77, Charge -0.038050195959923094
Atom ID 78, Charge -0.036539434074512656
Atom ID 79, Charge -0.005278227524011747
Atom ID 80, Charge -0.0825750752342822
Atom ID 81, Charge -0.07841405491161435
Atom ID 82, Charge -0.02052499705956734
Atom ID 83, Charge -0.03805015670418843
Atom ID 84, Charge -0.023991901381715586
Atom ID 85, Charge -0.020524955915035115
Atom ID 86, Charge -0.08142544450383404
Atom ID 87, Charge -0.08142343866402779
Atom ID 88, Charge -0.005278197241681326
Atom ID 89, Charge -0.023991952033825648
Atom ID 90, Charge -0.02399190794548467
Atom ID 91, Charge -0.02052495398482357
Atom ID 92, Charge -0.08142384287081494
Atom ID 93, Charge -0.08142496118096876
Atom ID 94, Charge -0.005278254140028693
Atom ID 95, Charge -0.02399193571102387
Atom ID 96, Charge -0.03805003492245085
Atom ID 97, Charge -0.021877571577825883
Atom ID 98, Charge -0.0784133369630391
Atom ID 99, Charge -0.08257476844479861
Atom ID 100, Charge -0.02187761267887467
Atom ID 101, Charge -0.03653929093203345
Atom ID 102, Charge -0.0380500820156211
Atom ID 103, Charge -0.02187762887745759
Atom ID 104, Charge -0.07841515230336782
Atom ID 105, Charge -0.08257512843008019
Atom ID 106, Charge -0.021877574600488003
Atom ID 107, Charge -0.03653932109209368
Atom ID 108, Charge 0.04478422744624666
Atom ID 109, Charge 0.044804172428447586
Atom ID 110, Charge 0.30615163116327704
Atom ID 111, Charge 0.019869318248257883
Atom ID 112, Charge 0.01977905969058491
Atom ID 113, Charge 0.01986931446792295
Atom ID 114, Charge 0.01977905892812204
Atom ID 115, Charge 0.019879371145259617
Atom ID 116, Charge 0.01987936039602911
Atom ID 117, Charge 0.019879371785703537
Atom ID 118, Charge 0.019879363576789433
Atom ID 119, Charge 0.019779059733275206
Atom ID 120, Charge 0.01986931625574151
Atom ID 121, Charge 0.019779057466569383
Atom ID 122, Charge 0.019869324151287726
Atom ID 123, Charge 0.01823992926029172
Atom ID 124, Charge 0.01962327677398701
Atom ID 125, Charge 0.018241298557961305
Atom ID 126, Charge 0.019625551929658203
Atom ID 127, Charge 0.022307292246346866
Atom ID 128, Charge 0.022307667372536866
Atom ID 129, Charge 0.022307507387585468
Atom ID 130, Charge 0.02230762823268595
Atom ID 131, Charge 0.019626104955474233
Atom ID 132, Charge 0.018241669724522236
Atom ID 133, Charge 0.01962392105453603
Atom ID 134, Charge 0.018240318493418783
Atom ID 135, Charge 0.0817119347782127
