Atom ID 0, Charge -0.06562138468024692
Atom ID 1, Charge -0.01690182715717725
Atom ID 2, Charge -0.016901703722989936
Atom ID 3, Charge -0.02418760537885234
Atom ID 4, Charge -0.12124681258368586
Atom ID 5, Charge -0.12124690178951081
Atom ID 6, Charge -0.06562160875426049
Atom ID 7, Charge -0.016902271826267246
Atom ID 8, Charge -0.01690173030346198
Atom ID 9, Charge -0.02418766517130244
Atom ID 10, Charge -0.1212468677045555
Atom ID 11, Charge -0.12124688520777482
Atom ID 12, Charge -0.014838711947454897
Atom ID 13, Charge -0.024861071445059224
Atom ID 14, Charge -0.025560687400628446
Atom ID 15, Charge -0.1057198915520976
Atom ID 16, Charge -0.0241229641076508
Atom ID 17, Charge -0.023810706979477736
Atom ID 18, Charge -0.014838529289559865
Atom ID 19, Charge -0.0248609731778755
Atom ID 20, Charge -0.025560361357263695
Atom ID 21, Charge -0.1057197152418885
Atom ID 22, Charge -0.024123007453132672
Atom ID 23, Charge -0.02381076922329406
Atom ID 24, Charge -0.014838777474010634
Atom ID 25, Charge -0.02556080694768692
Atom ID 26, Charge -0.024861107182987396
Atom ID 27, Charge -0.10571964984732762
Atom ID 28, Charge -0.023810800380903885
Atom ID 29, Charge -0.024123109661265296
Atom ID 30, Charge -0.01483901282097122
Atom ID 31, Charge -0.025559875514733932
Atom ID 32, Charge -0.024860928103755064
Atom ID 33, Charge -0.10571965459671695
Atom ID 34, Charge -0.023810433548626442
Atom ID 35, Charge -0.02412340126795698
Atom ID 36, Charge -0.06544944589453472
Atom ID 37, Charge -0.01719527970640833
Atom ID 38, Charge -0.017195482719357003
Atom ID 39, Charge -0.02535141218221426
Atom ID 40, Charge -0.12089149876815153
Atom ID 41, Charge -0.12089058347934412
Atom ID 42, Charge -0.06544706816891832
Atom ID 43, Charge -0.017195520790065366
Atom ID 44, Charge -0.017195570414430428
Atom ID 45, Charge -0.02535218963747532
Atom ID 46, Charge -0.12089026038085127
Atom ID 47, Charge -0.12088701879277508
Atom ID 48, Charge -0.033748783707739705
Atom ID 49, Charge -0.026343327857016874
Atom ID 50, Charge -0.026343307996091525
Atom ID 51, Charge -0.019655458376021784
Atom ID 52, Charge -0.027489550270733076
Atom ID 53, Charge -0.027489771974585686
Atom ID 54, Charge -0.033748198709308674
Atom ID 55, Charge -0.026343475520580917
Atom ID 56, Charge -0.026343214600097475
Atom ID 57, Charge -0.019655534463566937
Atom ID 58, Charge -0.027489386369957458
Atom ID 59, Charge -0.027489425330085027
Atom ID 60, Charge -0.03286140032220164
Atom ID 61, Charge -0.021232601935208706
Atom ID 62, Charge -0.010410936830933082
Atom ID 63, Charge -0.02827419992807023
Atom ID 64, Charge -0.029860135001811727
Atom ID 65, Charge -0.030467993852095532
Atom ID 66, Charge -0.032861211927976974
Atom ID 67, Charge -0.021232244877039896
Atom ID 68, Charge -0.010410893713202363
Atom ID 69, Charge -0.02827427308274366
Atom ID 70, Charge -0.029860307149532694
Atom ID 71, Charge -0.030467805292472505
Atom ID 72, Charge -0.032861423977061044
Atom ID 73, Charge -0.01041085313375234
Atom ID 74, Charge -0.02123224685536762
Atom ID 75, Charge -0.028274344806186846
Atom ID 76, Charge -0.03046768888117235
Atom ID 77, Charge -0.02986018545237812
Atom ID 78, Charge -0.03286153090350563
Atom ID 79, Charge -0.010410760948484032
Atom ID 80, Charge -0.021232120609327332
Atom ID 81, Charge -0.028274153379349798
Atom ID 82, Charge -0.030467875598606753
Atom ID 83, Charge -0.029860201899237993
Atom ID 84, Charge -0.032171992073708466
Atom ID 85, Charge -0.02623847814606428
Atom ID 86, Charge -0.026238490201221154
Atom ID 87, Charge -0.007920429870605261
Atom ID 88, Charge -0.02494959845806921
Atom ID 89, Charge -0.024949508292730016
Atom ID 90, Charge -0.032172025120773995
Atom ID 91, Charge -0.026238674572643284
Atom ID 92, Charge -0.02623855150901555
Atom ID 93, Charge -0.00792029781748127
Atom ID 94, Charge -0.02494953566469338
Atom ID 95, Charge -0.024949388742008693
Atom ID 96, Charge -0.010989660803623735
Atom ID 97, Charge -0.023016395311557858
Atom ID 98, Charge -0.023015573630333463
Atom ID 99, Charge -0.025145399946119085
Atom ID 100, Charge -0.005314905513679413
Atom ID 101, Charge -0.005314962886381558
Atom ID 102, Charge -0.010989477719581586
Atom ID 103, Charge -0.02301621133348597
Atom ID 104, Charge -0.023015514374246315
Atom ID 105, Charge -0.02514537291399499
Atom ID 106, Charge -0.005315082607817878
Atom ID 107, Charge -0.005314895441379086
Atom ID 108, Charge -0.1279681115875526
Atom ID 109, Charge -0.11246552381018216
Atom ID 110, Charge -0.1103704771081171
Atom ID 111, Charge -0.011855601153358819
Atom ID 112, Charge -0.022580063096812708
Atom ID 113, Charge -0.027875467008761312
Atom ID 114, Charge -0.12796942015604085
Atom ID 115, Charge -0.11246585483859661
Atom ID 116, Charge -0.11037067379917787
Atom ID 117, Charge -0.011855290371738825
Atom ID 118, Charge -0.022580479038323276
Atom ID 119, Charge -0.027875413350062495
Atom ID 120, Charge -0.1279744838829311
Atom ID 121, Charge -0.11037321020345203
Atom ID 122, Charge -0.11246877285064016
Atom ID 123, Charge -0.01185461151697087
Atom ID 124, Charge -0.027876795026442913
Atom ID 125, Charge -0.02258233815139654
Atom ID 126, Charge -0.12797269208073736
Atom ID 127, Charge -0.11037299911377207
Atom ID 128, Charge -0.11246790609584867
Atom ID 129, Charge -0.011854658034729404
Atom ID 130, Charge -0.02787669854023278
Atom ID 131, Charge -0.022581762647503112
Atom ID 132, Charge -0.03542136059887824
Atom ID 133, Charge -0.022802701047618612
Atom ID 134, Charge -0.022803256497813784
Atom ID 135, Charge -0.005902045342240925
Atom ID 136, Charge -0.02341796468147539
Atom ID 137, Charge -0.023418119218789002
Atom ID 138, Charge -0.03542132344139581
Atom ID 139, Charge -0.022802453166396397
Atom ID 140, Charge -0.02280325390976312
Atom ID 141, Charge -0.005902025821391099
Atom ID 142, Charge -0.023417961890793038
Atom ID 143, Charge -0.023417995531056945
Atom ID 144, Charge 0.04317218333100126
Atom ID 145, Charge 0.04304672710099311
Atom ID 146, Charge 0.23472411235757207
Atom ID 147, Charge 0.029274805855254327
Atom ID 148, Charge 0.0292746297580051
Atom ID 149, Charge 0.029274464087049923
Atom ID 150, Charge 0.029274862215693198
Atom ID 151, Charge 0.034314262032416276
Atom ID 152, Charge 0.034315088916673675
Atom ID 153, Charge 0.0343146366336492
Atom ID 154, Charge 0.034314650442107575
Atom ID 155, Charge 0.029312824241823243
Atom ID 156, Charge 0.029314196110796553
Atom ID 157, Charge 0.029313927905935788
Atom ID 158, Charge 0.029318617651264645
Atom ID 159, Charge 0.025421897675083738
Atom ID 160, Charge 0.026261770666318296
Atom ID 161, Charge 0.007930946189986132
Atom ID 162, Charge 0.02542373904283035
Atom ID 163, Charge 0.02628595641718745
Atom ID 164, Charge 0.007929813461387769
Atom ID 165, Charge 0.025418301962100043
Atom ID 166, Charge 0.007927261914327688
Atom ID 167, Charge 0.026284458180400372
Atom ID 168, Charge 0.025416385654671303
Atom ID 169, Charge 0.00792842790067061
Atom ID 170, Charge 0.026259566660474354
Atom ID 171, Charge 0.07660849927124991
Atom ID 172, Charge 0.07020500573424138
Atom ID 173, Charge 0.07573954339512934
Atom ID 174, Charge 0.07017163139648086
Atom ID 175, Charge 0.2004531973353152
Atom ID 176, Charge 0.1960696125612431
Atom ID 177, Charge 0.1655748320774726
Atom ID 178, Charge 0.16610397661816156
Atom ID 179, Charge 0.16557473643204546
Atom ID 180, Charge 0.1661033807920087
Atom ID 181, Charge 0.20179253367911842
Atom ID 182, Charge 0.19622266301146762
Atom ID 183, Charge 0.17242360556227343
Atom ID 184, Charge 0.172288676086926
Atom ID 185, Charge 0.1730805375217681
Atom ID 186, Charge 0.1724733049510183
Atom ID 187, Charge 0.1730807372939447
Atom ID 188, Charge 0.17247336326943508
Atom ID 189, Charge 0.17400197567667464
Atom ID 190, Charge 0.1736192591859984
Atom ID 191, Charge 0.16756453060738874
Atom ID 192, Charge 0.16092261238437988
Atom ID 193, Charge 0.161914223679275
Atom ID 194, Charge 0.16092033602923195
Atom ID 195, Charge 0.16191252231034747
Atom ID 196, Charge 0.17443792046450968
Atom ID 197, Charge 0.1747874677622434
Atom ID 198, Charge 0.22517399941378935
Atom ID 199, Charge -0.311676678891871
Atom ID 200, Charge -0.07884100056303112
Atom ID 201, Charge -0.0793531053065788
