Atom ID 0, Charge -0.06546615063749428
Atom ID 1, Charge -0.01711536969361127
Atom ID 2, Charge -0.0171155733854782
Atom ID 3, Charge -0.025474479415899864
Atom ID 4, Charge -0.12159412167336914
Atom ID 5, Charge -0.12159335442854857
Atom ID 6, Charge -0.06546618574666407
Atom ID 7, Charge -0.017115638595615046
Atom ID 8, Charge -0.01711540046982929
Atom ID 9, Charge -0.025474400096114458
Atom ID 10, Charge -0.12159310629384379
Atom ID 11, Charge -0.12159404034842947
Atom ID 12, Charge -0.01190458689065732
Atom ID 13, Charge -0.026441016534965556
Atom ID 14, Charge -0.026434634347296537
Atom ID 15, Charge -0.10310116386646495
Atom ID 16, Charge -0.022806005017656616
Atom ID 17, Charge -0.02281180447570108
Atom ID 18, Charge -0.011904642517013286
Atom ID 19, Charge -0.02644106569473781
Atom ID 20, Charge -0.026434657258191052
Atom ID 21, Charge -0.10310155530601772
Atom ID 22, Charge -0.02280593280366361
Atom ID 23, Charge -0.022811748491145423
Atom ID 24, Charge -0.011904666528574914
Atom ID 25, Charge -0.026434743912546743
Atom ID 26, Charge -0.026441126163111228
Atom ID 27, Charge -0.10310132977197739
Atom ID 28, Charge -0.022811763379528394
Atom ID 29, Charge -0.022805936964370943
Atom ID 30, Charge -0.01190458529856997
Atom ID 31, Charge -0.026434682874837634
Atom ID 32, Charge -0.02644111033175367
Atom ID 33, Charge -0.10310124969578727
Atom ID 34, Charge -0.022811831446797548
Atom ID 35, Charge -0.022806065442909862
Atom ID 36, Charge -0.06546786399182025
Atom ID 37, Charge -0.01711540202212536
Atom ID 38, Charge -0.017115362349864327
Atom ID 39, Charge -0.025475828752306917
Atom ID 40, Charge -0.12159187596600596
Atom ID 41, Charge -0.12159230800886078
Atom ID 42, Charge -0.06546785342553729
Atom ID 43, Charge -0.017115291388663856
Atom ID 44, Charge -0.017115432072922765
Atom ID 45, Charge -0.02547582103870738
Atom ID 46, Charge -0.12159235520898726
Atom ID 47, Charge -0.12159168821620892
Atom ID 48, Charge -0.03348163972410312
Atom ID 49, Charge -0.02545751743019764
Atom ID 50, Charge -0.025457606925787246
Atom ID 51, Charge -0.016773790614035278
Atom ID 52, Charge -0.026334082782682344
Atom ID 53, Charge -0.02633399897853561
Atom ID 54, Charge -0.03348163984544339
Atom ID 55, Charge -0.02545758863890235
Atom ID 56, Charge -0.025457498061816075
Atom ID 57, Charge -0.016773785465671764
Atom ID 58, Charge -0.02633398873381143
Atom ID 59, Charge -0.026334063047724676
Atom ID 60, Charge -0.037753050131834165
Atom ID 61, Charge -0.02299015955592587
Atom ID 62, Charge -0.022983122914536303
Atom ID 63, Charge -0.026195087787020732
Atom ID 64, Charge -0.03030242863376298
Atom ID 65, Charge -0.0303013894625197
Atom ID 66, Charge -0.03775300684582206
Atom ID 67, Charge -0.022990176818782793
Atom ID 68, Charge -0.022983127090457245
Atom ID 69, Charge -0.02619507878688676
Atom ID 70, Charge -0.030302482253376617
Atom ID 71, Charge -0.030301417577049072
Atom ID 72, Charge -0.03775292059469404
Atom ID 73, Charge -0.022982921714978843
Atom ID 74, Charge -0.022990004103999873
Atom ID 75, Charge -0.026195017633424023
Atom ID 76, Charge -0.03030131722313012
Atom ID 77, Charge -0.03030248962208315
Atom ID 78, Charge -0.03775296152779717
Atom ID 79, Charge -0.02298293787851957
Atom ID 80, Charge -0.022989937976294783
Atom ID 81, Charge -0.02619499936901537
Atom ID 82, Charge -0.03030123908333593
Atom ID 83, Charge -0.030302455464112477
Atom ID 84, Charge -0.03347141031645595
Atom ID 85, Charge -0.025461860676225356
Atom ID 86, Charge -0.025461874039580223
Atom ID 87, Charge -0.016768143816314307
Atom ID 88, Charge -0.026335504114209485
Atom ID 89, Charge -0.02633545282605798
Atom ID 90, Charge -0.03347139993895887
Atom ID 91, Charge -0.025461855725616545
Atom ID 92, Charge -0.02546186129545447
Atom ID 93, Charge -0.01676813639405328
Atom ID 94, Charge -0.026335516865100494
Atom ID 95, Charge -0.026335444331150093
Atom ID 96, Charge -0.020959978509901944
Atom ID 97, Charge -0.008174600557004474
Atom ID 98, Charge -0.008173919954051811
Atom ID 99, Charge 0.02121708446259074
Atom ID 100, Charge -0.017356909981633528
Atom ID 101, Charge -0.01735735663029203
Atom ID 102, Charge -0.020959979503190063
Atom ID 103, Charge -0.008174531034336852
Atom ID 104, Charge -0.008173973515781086
Atom ID 105, Charge 0.021217098375945653
Atom ID 106, Charge -0.017357149487712498
Atom ID 107, Charge -0.01735710988435013
Atom ID 108, Charge -0.08519675351960121
Atom ID 109, Charge -0.029485292020351217
Atom ID 110, Charge -0.029684046358156024
Atom ID 111, Charge 0.0028033105943272574
Atom ID 112, Charge -0.007712829251329545
Atom ID 113, Charge -0.007764757514789444
Atom ID 114, Charge -0.08519725347971185
Atom ID 115, Charge -0.029485561680990813
Atom ID 116, Charge -0.029684172620966898
Atom ID 117, Charge 0.0028032842663101576
Atom ID 118, Charge -0.007713395836144166
Atom ID 119, Charge -0.007764887946976273
Atom ID 120, Charge -0.08520262174476478
Atom ID 121, Charge -0.029686866309669213
Atom ID 122, Charge -0.029489395604636925
Atom ID 123, Charge 0.0028034984392473206
