Atom ID 0, Charge -0.06641180194425278
Atom ID 1, Charge -0.016433963706361965
Atom ID 2, Charge -0.016433861865803756
Atom ID 3, Charge -0.023674448039133544
Atom ID 4, Charge -0.12146306695928555
Atom ID 5, Charge -0.12146349017847857
Atom ID 6, Charge -0.06641167590639796
Atom ID 7, Charge -0.016433928523984953
Atom ID 8, Charge -0.016434173468055313
Atom ID 9, Charge -0.02367445153204173
Atom ID 10, Charge -0.12146358070202279
Atom ID 11, Charge -0.12146267570409996
Atom ID 12, Charge -0.012325502379516351
Atom ID 13, Charge -0.02431080882203407
Atom ID 14, Charge -0.02524450815071777
Atom ID 15, Charge -0.10601031888851775
Atom ID 16, Charge -0.022793351909065507
Atom ID 17, Charge -0.023554741428911896
Atom ID 18, Charge -0.012325511226104702
Atom ID 19, Charge -0.02431057683389959
Atom ID 20, Charge -0.025244424406849042
Atom ID 21, Charge -0.10601027852746014
Atom ID 22, Charge -0.022793255107528942
Atom ID 23, Charge -0.02355478086537577
Atom ID 24, Charge -0.012325495767834482
Atom ID 25, Charge -0.025244474039615383
Atom ID 26, Charge -0.0243106529627255
Atom ID 27, Charge -0.1060105851958113
Atom ID 28, Charge -0.0235547648996981
Atom ID 29, Charge -0.022793295889811382
Atom ID 30, Charge -0.012325527164106731
Atom ID 31, Charge -0.025244439140041486
Atom ID 32, Charge -0.02431069350434889
Atom ID 33, Charge -0.10601028521167244
Atom ID 34, Charge -0.023554720997046807
Atom ID 35, Charge -0.022793371638035076
Atom ID 36, Charge -0.06610469594598012
Atom ID 37, Charge -0.017340099366590422
Atom ID 38, Charge -0.01734004419965718
Atom ID 39, Charge -0.025042120304733295
Atom ID 40, Charge -0.12116302029000359
Atom ID 41, Charge -0.1211630535499788
Atom ID 42, Charge -0.06610472260535882
Atom ID 43, Charge -0.0173401449132653
Atom ID 44, Charge -0.017340169743343736
Atom ID 45, Charge -0.025042146470165783
Atom ID 46, Charge -0.1211631781070448
Atom ID 47, Charge -0.1211630988221799
Atom ID 48, Charge -0.03495854345454141
Atom ID 49, Charge -0.026490457761624953
Atom ID 50, Charge -0.026490464199537378
Atom ID 51, Charge -0.019352733271331246
Atom ID 52, Charge -0.027193133401979708
Atom ID 53, Charge -0.02719317207977401
Atom ID 54, Charge -0.034958553142953264
Atom ID 55, Charge -0.026490464542184178
Atom ID 56, Charge -0.026490489431411746
Atom ID 57, Charge -0.01935272605663041
Atom ID 58, Charge -0.027193215486840394
Atom ID 59, Charge -0.027193117310602588
Atom ID 60, Charge -0.03404821026576865
Atom ID 61, Charge -0.021054619438836575
Atom ID 62, Charge -0.010125636444449526
Atom ID 63, Charge -0.029029218987147054
Atom ID 64, Charge -0.029699674172192658
Atom ID 65, Charge -0.030606215777861046
Atom ID 66, Charge -0.03404812712432648
Atom ID 67, Charge -0.02105462207879949
Atom ID 68, Charge -0.010125595471112803
Atom ID 69, Charge -0.02902930863006592
Atom ID 70, Charge -0.029699647188733636
Atom ID 71, Charge -0.030606069953902804
Atom ID 72, Charge -0.034048167587255485
Atom ID 73, Charge -0.010125622453863059
Atom ID 74, Charge -0.021054643668377615
Atom ID 75, Charge -0.02902928439564345
Atom ID 76, Charge -0.030606158289492313
Atom ID 77, Charge -0.029699608530072474
Atom ID 78, Charge -0.03404826188302934
Atom ID 79, Charge -0.010125632813003271
Atom ID 80, Charge -0.021054700581799146
Atom ID 81, Charge -0.029029229018703084
Atom ID 82, Charge -0.030606258523235397
Atom ID 83, Charge -0.029699597249612353
Atom ID 84, Charge -0.034334757339768984
Atom ID 85, Charge -0.025835464793959595
Atom ID 86, Charge -0.02583553597567878
Atom ID 87, Charge -0.00649488113888097
Atom ID 88, Charge -0.025120879093114112
Atom ID 89, Charge -0.025120791454026126
Atom ID 90, Charge -0.03433473782819796
Atom ID 91, Charge -0.02583554628344409
Atom ID 92, Charge -0.02583544556988837
Atom ID 93, Charge -0.006494869057360297
Atom ID 94, Charge -0.025120845002065018
Atom ID 95, Charge -0.025120890974979382
Atom ID 96, Charge -0.009774488880312404
Atom ID 97, Charge -0.021353444021140255
Atom ID 98, Charge -0.021353473584602156
Atom ID 99, Charge -0.01831834059361448
Atom ID 100, Charge -0.004510030901754725
Atom ID 101, Charge -0.0045099680095761485
Atom ID 102, Charge -0.00977445989119552
Atom ID 103, Charge -0.021353387715431715
Atom ID 104, Charge -0.021353441018965746
Atom ID 105, Charge -0.018318309465019667
Atom ID 106, Charge -0.004509953598243577
Atom ID 107, Charge -0.004510000435257844
Atom ID 108, Charge -0.12053792845504052
Atom ID 109, Charge -0.10205398907957441
Atom ID 110, Charge -0.09743689519959275
Atom ID 111, Charge -0.00913603849682243
Atom ID 112, Charge -0.019304211371783175
Atom ID 113, Charge -0.023960006428705327
Atom ID 114, Charge -0.1205391302478791
Atom ID 115, Charge -0.10205478821655944
Atom ID 116, Charge -0.09743730923735061
Atom ID 117, Charge -0.009136054637018276
Atom ID 118, Charge -0.019304571826433303
Atom ID 119, Charge -0.023960053292507055
Atom ID 120, Charge -0.12053828229334052
Atom ID 121, Charge -0.09743702391192155
Atom ID 122, Charge -0.10205291367633595
Atom ID 123, Charge -0.009136021523009852
Atom ID 124, Charge -0.02395979627263589
Atom ID 125, Charge -0.019304314392563526
Atom ID 126, Charge -0.12053702570641978
Atom ID 127, Charge -0.09743673146451393
Atom ID 128, Charge -0.10205199782723096
Atom ID 129, Charge -0.009135979443881226
Atom ID 130, Charge -0.023959785066704598
Atom ID 131, Charge -0.01930396538340151
Atom ID 132, Charge -0.03340983262782515
Atom ID 133, Charge -0.020633107445579668
Atom ID 134, Charge -0.02063297154639443
Atom ID 135, Charge -0.001100616304796631
Atom ID 136, Charge -0.02198552274424337
Atom ID 137, Charge -0.02198559208995121
Atom ID 138, Charge -0.03340979449533599
Atom ID 139, Charge -0.020632992226603086
Atom ID 140, Charge -0.020633022492647868
Atom ID 141, Charge -0.0011006366281574032
Atom ID 142, Charge -0.02198565114372908
Atom ID 143, Charge -0.02198547033318743
Atom ID 144, Charge 0.043557851122845825
Atom ID 145, Charge 0.04341568434255194
Atom ID 146, Charge 0.23440118745075988
Atom ID 147, Charge 0.029335837595695025
Atom ID 148, Charge 0.02933517312363698
Atom ID 149, Charge 0.029334795556448134
Atom ID 150, Charge 0.02933653731077257
Atom ID 151, Charge 0.03532154543053434
Atom ID 152, Charge 0.03532235681896978
Atom ID 153, Charge 0.03532195739144328
Atom ID 154, Charge 0.035321350545048924
Atom ID 155, Charge 0.029273281022115683
Atom ID 156, Charge 0.029273557594467592
Atom ID 157, Charge 0.02927351094741193
Atom ID 158, Charge 0.029273526182259757
Atom ID 159, Charge 0.03616275155606086
Atom ID 160, Charge 0.03700953959161124
Atom ID 161, Charge 0.01933104961669241
Atom ID 162, Charge 0.036166239226432695
Atom ID 163, Charge 0.03703473689802006
Atom ID 164, Charge 0.019329953409555234
Atom ID 165, Charge 0.03616616076933121
Atom ID 166, Charge 0.01933013497584868
Atom ID 167, Charge 0.03703603085248097
Atom ID 168, Charge 0.03616317381265399
Atom ID 169, Charge 0.019331192022889132
Atom ID 170, Charge 0.0370112241401771
Atom ID 171, Charge 0.0768408991687346
Atom ID 172, Charge 0.0708579062932313
Atom ID 173, Charge 0.07614245049384605
Atom ID 174, Charge 0.07068378902179562
Atom ID 175, Charge 0.198859012794129
Atom ID 176, Charge 0.1950216542536678
Atom ID 177, Charge 0.16611989799454285
Atom ID 178, Charge 0.16624886766190627
Atom ID 179, Charge 0.16611996256887673
Atom ID 180, Charge 0.16624878576077284
Atom ID 181, Charge 0.19842047330167523
Atom ID 182, Charge 0.1964017850807207
Atom ID 183, Charge 0.17222244221822924
Atom ID 184, Charge 0.17198224683941188
Atom ID 185, Charge 0.17309349237866822
Atom ID 186, Charge 0.17256064013269246
Atom ID 187, Charge 0.17309347959387322
Atom ID 188, Charge 0.17256066264539927
Atom ID 189, Charge 0.17413958948116992
