Atom ID 0, Charge -0.054500010442517066
Atom ID 1, Charge -0.08631142183464835
Atom ID 2, Charge -0.020639122070342353
Atom ID 3, Charge -0.02063920290423482
Atom ID 4, Charge -0.08582667153438006
Atom ID 5, Charge -0.05450005575376693
Atom ID 6, Charge -0.05450006315382261
Atom ID 7, Charge -0.08631054711499253
Atom ID 8, Charge -0.020639207086922795
Atom ID 9, Charge -0.020639119554130225
Atom ID 10, Charge -0.08582668590628728
Atom ID 11, Charge -0.05450000175946723
Atom ID 12, Charge -0.05337768403461407
Atom ID 13, Charge -0.08632111171424128
Atom ID 14, Charge -0.01989136724967988
Atom ID 15, Charge -0.022035897626535572
Atom ID 16, Charge -0.08632129657253795
Atom ID 17, Charge -0.05449047913121152
Atom ID 18, Charge -0.053377660587369924
Atom ID 19, Charge -0.08632127722618854
Atom ID 20, Charge -0.01989112272737259
Atom ID 21, Charge -0.02203596620311643
Atom ID 22, Charge -0.08632113636226801
Atom ID 23, Charge -0.05449055219122023
Atom ID 24, Charge -0.054490546727117284
Atom ID 25, Charge -0.0858266481561234
Atom ID 26, Charge -0.022035976799156032
Atom ID 27, Charge -0.019891129212293635
Atom ID 28, Charge -0.08631057990861635
Atom ID 29, Charge -0.05337764298877712
Atom ID 30, Charge -0.05449047373802074
Atom ID 31, Charge -0.08582662638929595
Atom ID 32, Charge -0.02203591207112421
Atom ID 33, Charge -0.01989138142451896
Atom ID 34, Charge -0.08631148988420367
Atom ID 35, Charge -0.05337766469929761
Atom ID 36, Charge -0.02045206154408241
Atom ID 37, Charge -0.02852913712443339
Atom ID 38, Charge -0.026991489340409736
Atom ID 39, Charge -0.015631542121555597
Atom ID 40, Charge -0.028529210261932114
Atom ID 41, Charge -0.021357375921972732
Atom ID 42, Charge -0.02045213028077697
Atom ID 43, Charge -0.028529212976503793
Atom ID 44, Charge -0.026991501699134446
Atom ID 45, Charge -0.015631607833676675
Atom ID 46, Charge -0.02852913398540302
Atom ID 47, Charge -0.02135739953614557
Atom ID 48, Charge -0.02135740467749514
Atom ID 49, Charge -0.03011176222876699
Atom ID 50, Charge -0.01563161533671309
Atom ID 51, Charge -0.02699148010763608
Atom ID 52, Charge -0.030235269131636322
Atom ID 53, Charge -0.02045212494413029
Atom ID 54, Charge -0.021357381483370297
Atom ID 55, Charge -0.03011189115211721
Atom ID 56, Charge -0.01563155319420595
Atom ID 57, Charge -0.026991472602287736
Atom ID 58, Charge -0.030235304531080587
Atom ID 59, Charge -0.02045205517764348
Atom ID 60, Charge -0.0213075062538719
Atom ID 61, Charge -0.030235294554187497
Atom ID 62, Charge -0.030158841380483636
Atom ID 63, Charge -0.03015898137798345
Atom ID 64, Charge -0.030111892586169198
Atom ID 65, Charge -0.021307509416079284
Atom ID 66, Charge -0.021307487158485294
Atom ID 67, Charge -0.0302352617780981
Atom ID 68, Charge -0.030158955145804356
Atom ID 69, Charge -0.030158892504925205
Atom ID 70, Charge -0.030111766433309484
Atom ID 71, Charge -0.021307521865638
Atom ID 72, Charge -0.0361545031714714
Atom ID 73, Charge 0.0029104671285082873
Atom ID 74, Charge -0.04863156360142451
Atom ID 75, Charge -0.04276966826757267
Atom ID 76, Charge -0.014591847346130393
Atom ID 77, Charge -0.03431440400927066
Atom ID 78, Charge -0.03615438024025952
Atom ID 79, Charge 0.002910492012104804
Atom ID 80, Charge -0.048631344493120565
Atom ID 81, Charge -0.04276854996847579
Atom ID 82, Charge -0.014591860643966115
Atom ID 83, Charge -0.034314348629989055
Atom ID 84, Charge -0.038253039143989476
Atom ID 85, Charge -0.01459184029162408
Atom ID 86, Charge -0.06484825064014021
Atom ID 87, Charge -0.06484773601833194
Atom ID 88, Charge 0.0029104978833736084
Atom ID 89, Charge -0.03825305379571642
Atom ID 90, Charge -0.03825307901217467
Atom ID 91, Charge -0.014591838072867347
Atom ID 92, Charge -0.06484783174945452
Atom ID 93, Charge -0.06484816473749966
Atom ID 94, Charge 0.0029104780225761573
Atom ID 95, Charge -0.03825301856970498
Atom ID 96, Charge -0.03431439136096781
Atom ID 97, Charge -0.013321482234880833
Atom ID 98, Charge -0.04276828195392213
Atom ID 99, Charge -0.04863120609564309
Atom ID 100, Charge -0.013321548699574137
Atom ID 101, Charge -0.03615435533099909
Atom ID 102, Charge -0.03431440304544875
Atom ID 103, Charge -0.013321563789101987
Atom ID 104, Charge -0.04276940483835023
Atom ID 105, Charge -0.0486314411270623
Atom ID 106, Charge -0.013321472425150915
Atom ID 107, Charge -0.036154477791084716
Atom ID 108, Charge 0.041580671044270545
Atom ID 109, Charge 0.04154293636510964
Atom ID 110, Charge 0.23468730942381377
Atom ID 111, Charge 0.030633511502470512
Atom ID 112, Charge 0.030661284247336162
Atom ID 113, Charge 0.03063495348894607
Atom ID 114, Charge 0.03066161246434318
Atom ID 115, Charge 0.0305197096808123
Atom ID 116, Charge 0.0305197421297565
Atom ID 117, Charge 0.03051972956998561
Atom ID 118, Charge 0.03051968360131918
Atom ID 119, Charge 0.03066163424474999
Atom ID 120, Charge 0.030634859100527767
Atom ID 121, Charge 0.03066129836102016
Atom ID 122, Charge 0.030633360152583333
Atom ID 123, Charge 0.044271982712505986
Atom ID 124, Charge 0.04589132171830912
Atom ID 125, Charge 0.04427296488921639
Atom ID 126, Charge 0.045885238005283546
Atom ID 127, Charge 0.05028202572062368
Atom ID 128, Charge 0.05026020213822391
Atom ID 129, Charge 0.050259795159268705
Atom ID 130, Charge 0.05028220693798158
Atom ID 131, Charge 0.04588528156173188
